order_id,order_date,customer_id,product_category,quantity,unit_price,region,is_return
1,2024-01-01 00:00:00,1017.0,Electronics,3,44.68,West,False
2,2024-01-01 01:00:00,1154.0,Electronics,2,20.69,East,False
3,2024-01-01 02:00:00,1130.0,Apparel,4,41.6,West,False
4,2024-01-01 03:00:00,1087.0,Apparel,5,26.26,South,False
5,2024-01-01 04:00:00,1086.0,Apparel,2,39.45,West,False
6,2024-01-01 05:00:00,1171.0,Books,6,6.2,East,False
7,2024-01-01 06:00:00,1017.0,Home Goods,5,22.44,North,False
8,2024-01-01 07:00:00,1139.0,Books,2,74.28,North,False
9,2024-01-01 08:00:00,1040.0,Apparel,7,61.61,East,False
10,2024-01-01 09:00:00,1018.0,Electronics,1,71.38,North,False
11,2024-01-01 10:00:00,1105.0,Books,5,72.75,West,False
12,2024-01-01 11:00:00,1195.0,Electronics,4,58.46,East,False
13,2024-01-01 12:00:00,1147.0,Home Goods,5,35.94,South,False
14,2024-01-01 13:00:00,1152.0,Books,6,24.25,South,False
15,2024-01-01 14:00:00,1143.0,Apparel,5,67.93,Unknown,False
16,2024-01-01 15:00:00,1157.0,Books,5,46.29,West,False
17,2024-01-01 16:00:00,1102.0,Electronics,6,94.88,West,False
18,2024-01-01 17:00:00,1025.0,Home Goods,5,37.7,West,False
19,2024-01-01 18:00:00,1167.0,Apparel,6,84.46,East,False
20,2024-01-01 19:00:00,1090.0,Apparel,3,41.86,West,False
21,2024-01-01 20:00:00,1100.0,Books,2,71.72,East,False
22,2024-01-01 21:00:00,1074.0,Home Goods,2,78.93,East,False
23,2024-01-01 22:00:00,1036.0,Apparel,5,24.54,South,False
24,2024-01-01 23:00:00,1185.0,Home Goods,4,35.3,South,False
25,2024-01-02 00:00:00,1156.0,Books,1,24.34,West,False
26,2024-01-02 01:00:00,1128.0,Electronics,2,20.4,South,False
27,2024-01-02 02:00:00,1080.0,Electronics,7,58.34,West,False
28,2024-01-02 03:00:00,1164.0,Electronics,6,41.07,West,False
29,2024-01-02 04:00:00,1109.0,Apparel,6,46.05,South,False
30,2024-01-02 05:00:00,1088.0,Electronics,2,56.12,North,False
31,2024-01-02 06:00:00,1090.0,Electronics,1,7.85,East,False
32,2024-01-02 07:00:00,1045.0,Books,3,70.74,North,False
33,2024-01-02 08:00:00,1018.0,Electronics,6,38.02,West,False
34,2024-01-02 09:00:00,1110.0,Electronics,4,55.65,East,False
35,2024-01-02 10:00:00,1177.0,Electronics,6,57.41,East,False
36,2024-01-02 11:00:00,1012.0,Electronics,4,72.42,East,False
37,2024-01-02 12:00:00,1171.0,Books,4,42.9,East,False
38,2024-01-02 13:00:00,1165.0,Home Goods,5,2.53,South,False
39,2024-01-02 14:00:00,1055.0,Books,7,46.14,South,False
40,2024-01-02 15:00:00,1126.0,Electronics,4,49.01,South,False
41,2024-01-02 16:00:00,1033.0,Electronics,5,24.31,West,False
42,2024-01-02 17:00:00,1151.0,Electronics,7,47.95,North,False
